,lat,lon,url,city,state,zip,status,type,style,price,beds,baths,half_baths,sq_ft,acres_lot,on_realtor,built,preds,expected_diff
12034,33.111818,-97.121668,https://www.realtor.com/realestateandhomes-detail/1004-Truman-Rd_Lantana_TX_76226_M77460-78724,Lantana,TX,76226.0,Active,Single Family Home,Traditional,599900.0,4.0,3.0,2.0,4077.0,0.25,3.0,2015.0,1212072.3784829425,-612172.3784829425
12035,33.166701,-96.896808,https://www.realtor.com/realestateandhomes-detail/2308-Capeland-Dr_Little-Elm_TX_75068_M84079-01016,Little Elm,TX,75068.0,Active,Single Family Home,nan,285000.0,4.0,2.0,1.0,2460.0,0.16299357208448118,40.0,2000.0,182153.66081595773,102846.33918404227
12036,33.142671,-97.240478,https://www.realtor.com/realestateandhomes-detail/8821-Sarasota_Denton_TX_76207_M86624-97532,Denton,TX,76207.0,Active,Single Family Home,Traditional,589900.0,2.0,2.0,1.0,2952.0,0.2190082644628099,40.0,2010.0,566733.3963880691,23166.603611930856
12037,33.07683,-97.2077,https://www.realtor.com/realestateandhomes-detail/10909-Smoky-Oak-Trl_Flower-Mound_TX_76226_M70883-50063,Flower Mound,TX,76226.0,Active,Single Family Home,Traditional,548000.0,4.0,3.0,1.0,4082.0,0.24,40.0,2017.0,791968.9962536506,-243968.99625365064
12043,33.237614,-96.873519,https://www.realtor.com/realestateandhomes-detail/4431-Mill-Br_Prosper_TX_75078_M86027-38671,Prosper,TX,75078.0,Active,Single Family Home,Traditional,895655.0,5.0,5.0,1.0,4831.0,0.28,39.0,2019.0,1327109.7802391655,-431454.7802391655
12044,33.138839000000004,-96.87599399999999,https://www.realtor.com/realestateandhomes-detail/1761-Bridle-Blvd_Frisco_TX_75036_M81048-64488,Frisco,TX,75036.0,Active,Single Family Home,nan,579900.0,4.0,3.0,1.0,3651.0,0.201010101010101,5.0,2013.0,525353.4321965507,54546.56780344935
12048,33.085631,-97.210545,https://www.realtor.com/realestateandhomes-detail/11500-Hickory-Falls-Dr_Flower-Mound_TX_76226_M88808-39879,Flower Mound,TX,76226.0,Active,Single Family Home,Traditional,734990.0,4.0,4.0,0.0,3577.0,0.44,40.0,2019.0,560433.2330898657,174556.76691013435
12075,33.114622999999995,-96.857144,https://www.realtor.com/realestateandhomes-detail/3702-Washington-Dr_Frisco_TX_75034_M75814-35835,Frisco,TX,75034.0,Active,Single Family Home,Traditional,470000.0,5.0,4.0,0.0,3512.0,0.17199265381083562,3.0,2003.0,425555.9795672295,44444.020432770485
12077,33.225165000000004,-96.958893,https://www.realtor.com/realestateandhomes-detail/10215-Waterbury-Dr_Providence-Village_TX_76227_M80444-36649,Providence Village,TX,76227.0,Active,Single Family Home,Traditional,250000.0,3.0,2.0,1.0,2263.0,0.15300734618916437,3.0,2004.0,319135.99644406966,-69135.99644406966
12093,33.006546,-97.089971,https://www.realtor.com/realestateandhomes-detail/3805-Rothschild-Dr_Flower-Mound_TX_75022_M73636-65926,Flower Mound,TX,75022.0,Active,Single Family Home,Traditional,900000.0,5.0,4.0,1.0,4811.0,2.02,3.0,2001.0,1231066.1130980828,-331066.11309808283
12095,33.019918,-96.8809,https://www.realtor.com/realestateandhomes-detail/3917-Vista-Woods-Cir_Carrollton_TX_75007_M88834-67329,Carrollton,TX,75007.0,Active Option Contract,Single Family Home,Traditional,349900.0,5.0,2.0,0.0,2262.0,0.29,6.0,1983.0,236636.00269682513,113263.99730317487
