,lat,lon,url,city,state,zip,status,type,style,price,beds,baths,half_baths,sq_ft,acres_lot,on_realtor,built,preds,expected_diff
0,32.904379,-96.328848,https://www.realtor.com/realestateandhomes-detail/431-Alexander-Ln_Royse-City_TX_75189_M75469-59244,Royse City,TX,75189.0,Active,Single Family Home,Traditional,339000.0,3.0,2.0,1.0,2080.0,1.56,66.0,2003.0,207323.0238436972,131676.9761563028
1,32.885827,-96.480427,https://www.realtor.com/realestateandhomes-detail/910-Signal-Ridge-Pl_Rockwall_TX_75032_M75455-39317,Rockwall,TX,75032.0,Active Option Contract,Condo/Townhome/Row Home/Co-Op,nan,209900.0,2.0,2.0,0.0,1185.0,0.08099173553719008,31.0,1985.0,330727.23928858107,-120827.23928858107
3,32.831306,-96.433962,https://www.realtor.com/realestateandhomes-detail/1221-McDonald-Rd_Rockwall_TX_75032_M81010-23591,Rockwall,TX,75032.0,Active,Single Family Home,Colonial,2159000.0,5.0,4.0,2.0,6345.0,28.0,58.0,1978.0,3077865.7272564657,-918865.7272564657
4,32.916565999999996,-96.338747,https://www.realtor.com/realestateandhomes-detail/5843-S-Fm-548_Royse-City_TX_75189_M74127-60733,Royse City,TX,75189.0,Pending,Single Family Home,"Ranch,Traditional",299750.0,5.0,2.0,1.0,2180.0,2.01,30.0,2000.0,89997.24479462643,209752.75520537357
5,32.910585,-96.459074,https://www.realtor.com/realestateandhomes-detail/153-Pelican-Cove-Dr_Rockwall_TX_75087_M82957-09557,Rockwall,TX,75087.0,Pending,Single Family Home,Traditional,255900.0,3.0,2.0,0.0,1763.0,0.27,30.0,1997.0,320406.9645884944,-64506.96458849439
6,32.948414,-96.388138,https://www.realtor.com/realestateandhomes-detail/704-Hickory-Ln_Fate_TX_75087_M80080-67718,Fate,TX,75087.0,Active,Single Family Home,Traditional,228000.0,4.0,2.0,0.0,2097.0,0.12601010101010102,66.0,2005.0,294568.5665087028,-66568.56650870282
7,32.929541,-96.372983,https://www.realtor.com/realestateandhomes-detail/139-Cameron-Dr_Fate_TX_75132_M78253-01258,Fate,TX,75189.0,Active Option Contract,Single Family Home,nan,309900.0,4.0,3.0,0.0,3448.0,0.12601010101010102,30.0,2014.0,310240.7632335506,-340.7632335505914
8,32.849996999999995,-96.489878,https://www.realtor.com/realestateandhomes-detail/9-Meadowlake-Dr_Heath_TX_75032_M87407-81263,Heath,TX,75032.0,Active,Single Family Home,Traditional,930000.0,6.0,7.0,0.0,7000.0,1.03,58.0,1983.0,2610881.7191379247,-1680881.7191379247
9,32.8634,-96.44666,https://www.realtor.com/realestateandhomes-detail/1712-Bison-Meadow-Ln_Heath_TX_75032_M80000-78682,Heath,TX,75032.0,Active,Single Family Home,Mediterranean,1650000.0,4.0,4.0,2.0,6338.0,2.07,61.0,2005.0,2365250.3550756075,-715250.3550756075
10,32.826903,-96.35592199999999,https://www.realtor.com/realestateandhomes-detail/14892-S-Fm-548_Rockwall_TX_75032_M73740-78716,Rockwall,TX,75032.0,Active,Single Family Home,Traditional,423400.0,4.0,3.0,0.0,2666.0,2.5,63.0,1997.0,310688.5901831265,112711.40981687349
11,32.887278,-96.479078,https://www.realtor.com/realestateandhomes-detail/2005-Portofino-Dr_Rockwall_TX_75032_M79288-40324?ex=TX641820303,Rockwall,TX,75032.0,Active,Condo/Townhome/Row Home/Co-Op,Mediterranean,464500.0,4.0,5.0,0.0,3020.0,0.14201101928374657,57.0,2003.0,918060.3704343656,-453560.3704343656
13,32.931909000000005,-96.371699,https://www.realtor.com/realestateandhomes-detail/232-Callaghan-Dr_Fate_TX_75189_M84131-77920,Fate,TX,75189.0,Active,Single Family Home,nan,272000.0,4.0,2.0,1.0,2580.0,0.13200183654729108,58.0,2015.0,178052.88035088842,93947.11964911158
15,32.932477,-96.337446,https://www.realtor.com/realestateandhomes-detail/3045-Estuary-Dr_Royse-City_TX_75189_M70490-11137,Royse City,TX,75189.0,Active,Single Family Home,Craftsman,245939.0,4.0,2.0,0.0,1873.0,0.125,66.0,2019.0,258388.25658292556,-12449.256582925562
16,32.937199,-96.472717,https://www.realtor.com/realestateandhomes-detail/708-McFarlin-Pl_Rockwall_TX_75087_M82621-68772,Rockwall,TX,75087.0,Pending,Single Family Home,Traditional,499000.0,5.0,4.0,0.0,4305.0,0.35,30.0,2013.0,528777.8707747196,-29777.87077471963
19,32.934718,-96.334123,https://www.realtor.com/realestateandhomes-detail/2134-Mossbrook-Dr_Royse-City_TX_75189_M88344-20516,Royse City,TX,75189.0,Active,Single Family Home,Craftsman,273547.0,4.0,3.0,0.0,2563.0,0.125,59.0,2019.0,293534.1462272412,-19987.146227241203
21,32.893879,-96.415141,https://www.realtor.com/realestateandhomes-detail/3025-Wimberley-Ln_Rockwall_TX_75032_M71296-64116,Rockwall,TX,75032.0,Active,Single Family Home,Traditional,412900.0,4.0,2.0,1.0,2744.0,0.3,57.0,2008.0,290335.9621900251,122564.03780997492
26,32.934749,-96.333058,https://www.realtor.com/realestateandhomes-detail/2138-Clear-Branch-Way_Royse-City_TX_75189_M76844-58617,Royse City,TX,75189.0,Active,Single Family Home,Traditional,321080.0,4.0,3.0,0.0,2863.0,0.15,65.0,2019.0,287763.12157358666,33316.87842641334
29,32.962345,-96.421603,https://www.realtor.com/realestateandhomes-detail/8-Northcrest-Cir_Rockwall_TX_75087_M74566-82789,Rockwall,TX,75087.0,Active,Farms/Ranches,nan,360000.0,5.0,3.0,0.0,3873.0,1.01,24.0,1978.0,750968.3374373214,-390968.33743732143
31,32.943197999999995,-96.37755,https://www.realtor.com/realestateandhomes-detail/411-Azalea-Dr_Fate_TX_75087_M76503-57530,Fate,TX,75087.0,Active,Single Family Home,nan,245000.0,4.0,2.0,1.0,2491.0,0.15300734618916437,61.0,2008.0,172630.10313830292,72369.89686169708
32,32.857256,-96.489685,https://www.realtor.com/realestateandhomes-detail/921-Cedar-Shores-Dr_Heath_TX_75032_M87537-03035,Heath,TX,75032.0,Active Option Contract,Single Family Home,Mediterranean,3999000.0,7.0,7.0,2.0,11435.0,1.26,24.0,2015.0,4856223.067548471,-857223.0675484706
33,32.930118,-96.453935,https://www.realtor.com/realestateandhomes-detail/201-S-Clark-St_Rockwall_TX_75087_M86429-35939,Rockwall,TX,75087.0,Active,Single Family Home,nan,473900.0,4.0,2.0,0.0,2320.0,0.46,23.0,1911.0,584764.1633847313,-110864.16338473128
34,32.946096999999995,-96.385547,https://www.realtor.com/realestateandhomes-detail/415-Butternut-Dr_Fate_TX_75087_M88827-47843,Fate,TX,75087.0,Active,Single Family Home,Traditional,235000.0,4.0,2.0,0.0,2069.0,0.1289944903581267,23.0,2004.0,304415.23459201667,-69415.23459201667
35,32.911134999999994,-96.505634,https://www.realtor.com/realestateandhomes-detail/301-Point-Royal-Dr_Rockwall_TX_75087_M75353-51194,Rowlett,TX,75087.0,Active,Single Family Home,Traditional,292500.0,3.0,2.0,1.0,2937.0,0.32,25.0,1985.0,435153.27884436504,-142653.27884436504
36,32.950837,-96.45605400000001,https://www.realtor.com/realestateandhomes-detail/526-Covey-Trl_Rockwall_TX_75087_M76384-14758,Rockwall,TX,75087.0,Active Option Contract,Single Family Home,Traditional,264900.0,4.0,2.0,0.0,2102.0,0.19400826446280992,23.0,2005.0,281307.69792888034,-16407.69792888034
38,32.912488,-96.505227,https://www.realtor.com/realestateandhomes-detail/402-Point-Royal-Dr_Rockwall_TX_75087_M81897-70706,Rowlett,TX,75087.0,Active,Single Family Home,"Ranch,Traditional",524900.0,5.0,3.0,2.0,3627.0,0.31,22.0,1965.0,1526298.4861611826,-1001398.4861611826
39,32.968356,-96.468782,https://www.realtor.com/realestateandhomes-detail/7122-Holden-Dr_Rockwall_TX_75087_M77765-20446,Rockwall,TX,75087.0,Active,Single Family Home,Traditional,325000.0,4.0,2.0,0.0,2365.0,0.22899449035812672,23.0,1993.0,265076.9613610654,59923.03863893461
40,32.938986,-96.38809499999999,https://www.realtor.com/realestateandhomes-detail/800-Waller-Dr_Fate_TX_75087_M87228-38980,Fate,TX,75087.0,Active,Single Family Home,Traditional,254900.0,3.0,2.0,0.0,1930.0,0.25,23.0,2012.0,410770.5528513049,-155870.55285130488
41,32.832115,-96.476819,https://www.realtor.com/realestateandhomes-detail/112-Dunford-Dr_Rockwall_TX_75032_M86983-70847,Heath,TX,75032.0,Active,Single Family Home,Traditional,380000.0,4.0,3.0,1.0,2700.0,0.38,23.0,2001.0,335565.17329129035,44434.82670870965
42,32.88584,-96.480368,https://www.realtor.com/realestateandhomes-detail/905-Signal-Ridge-Pl_Rockwall_TX_75032_M76863-15527,Rockwall,TX,75032.0,Active,Condo/Townhome/Row Home/Co-Op,Traditional,179500.0,2.0,2.0,0.0,1155.0,0.07899449035812672,25.0,1983.0,354182.96192498866,-174682.96192498866
43,32.828115000000004,-96.49968,https://www.realtor.com/realestateandhomes-detail/207-Drew-Ln_Heath_TX_75032_M84661-00818,Heath,TX,75032.0,Active,Single Family Home,Colonial,505000.0,4.0,2.0,2.0,3529.0,0.54,57.0,1998.0,1185358.8459838384,-680358.8459838384
44,32.94216,-96.393621,https://www.realtor.com/realestateandhomes-detail/333-Phillips-Ct_Fate_TX_75087_M76144-36830,Fate,TX,75087.0,Pending,Single Family Home,nan,349999.0,4.0,3.0,1.0,3306.0,0.26,23.0,2004.0,345161.8698909351,4837.130109064921
45,32.885366,-96.480249,https://www.realtor.com/realestateandhomes-detail/1022-Signal-Ridge-Pl_Rockwall_TX_75032_M89877-05398,Rockwall,TX,75032.0,Active,Condo/Townhome/Row Home/Co-Op,Traditional,279500.0,4.0,3.0,0.0,1841.0,0.125,60.0,1984.0,311614.63695979025,-32114.636959790252
46,32.867154,-96.411179,https://www.realtor.com/realestateandhomes-detail/700-Kensington-Dr_Rockwall_TX_75032_M75637-08465,McLendon Chisholm,TX,75032.0,Active,Single Family Home,nan,607413.0,5.0,4.0,1.0,4105.0,1.0,23.0,2019.0,768321.6471061659,-160908.64710616588
47,32.902586,-96.435439,https://www.realtor.com/realestateandhomes-detail/1713-Cliffbrook-Dr_Rockwall_TX_75032_M78336-35287,Rockwall,TX,75032.0,Active Option Contract,Single Family Home,Traditional,285000.0,5.0,3.0,0.0,3594.0,0.173989898989899,24.0,2003.0,342440.7634953399,-57440.763495339896
48,32.904262,-96.47013000000001,https://www.realtor.com/realestateandhomes-detail/672-Woodland-Way_Rockwall_TX_75087_M71160-50705,Rockwall,TX,75087.0,Pending,Single Family Home,Traditional,299000.0,4.0,3.0,0.0,2843.0,0.13799357208448118,23.0,2003.0,259515.09921604456,39484.90078395544
49,32.895281,-96.41606,https://www.realtor.com/realestateandhomes-detail/3161-Luchenbach-Trl_Rockwall_TX_75032_M89292-73745,Rockwall,TX,75032.0,Pending,Single Family Home,Traditional,345000.0,4.0,2.0,1.0,2371.0,0.31,22.0,2009.0,204829.15866739693,140170.84133260307
50,32.94702,-96.444342,https://www.realtor.com/realestateandhomes-detail/1502-Lochness-Ct_Rockwall_TX_75087_M75600-93668,Rockwall,TX,75087.0,Active,Single Family Home,Traditional,370000.0,4.0,4.0,0.0,3182.0,0.31,25.0,2014.0,404329.7436620875,-34329.74366208748
51,32.843928000000005,-96.482961,https://www.realtor.com/realestateandhomes-detail/900-Reflection-Ct_Heath_TX_75032_M78711-51084,Heath,TX,75032.0,Active,Single Family Home,Traditional,853800.0,4.0,4.0,1.0,5174.0,0.54,64.0,2016.0,1314422.8737317654,-460622.87373176543
52,32.960095,-96.461143,https://www.realtor.com/realestateandhomes-detail/607-Miramar-Dr_Rockwall_TX_75087_M84725-11385,Rockwall,TX,75087.0,Active,Single Family Home,Traditional,369900.0,4.0,2.0,1.0,2988.0,0.14201101928374657,23.0,2011.0,295553.0359152012,74346.96408479882
53,32.956424,-96.460831,https://www.realtor.com/realestateandhomes-detail/670-Featherstone-Dr_Rockwall_TX_75087_M78082-70722,Rockwall,TX,75087.0,Active,Single Family Home,Traditional,449500.0,4.0,3.0,0.0,3681.0,0.23,24.0,2014.0,431418.444810285,18081.555189715
54,32.910603,-96.442143,https://www.realtor.com/realestateandhomes-detail/1527-Trowbridge-Cir_Rockwall_TX_75032_M71777-24432,Rockwall,TX,75032.0,Active,Single Family Home,Traditional,399000.0,4.0,4.0,1.0,3764.0,0.1890036730945822,24.0,2015.0,788749.2821420772,-389749.2821420772
55,32.94186,-96.470256,https://www.realtor.com/realestateandhomes-detail/754-Monterey-Dr_Rockwall_TX_75087_M86977-59704,Rockwall,TX,75087.0,Active,Single Family Home,Traditional,329900.0,4.0,2.0,1.0,3124.0,0.1820018365472911,23.0,2005.0,337467.23353381583,-7567.23353381583
56,32.85134,-96.37044499999999,https://www.realtor.com/realestateandhomes-detail/1612-Veneto-Dr_McLendon-Chisholm_TX_75032_M72508-28136,McLendon Chisholm,TX,75032.0,Active,Single Family Home,Traditional,334000.0,4.0,3.0,1.0,2667.0,0.173989898989899,23.0,2017.0,297002.3656754711,36997.63432452892
57,32.970213,-96.450057,https://www.realtor.com/realestateandhomes-detail/930-Colby-Bluff-Dr_Rockwall_TX_75087_M72678-67078,Rockwall,TX,75087.0,Active,Single Family Home,Traditional,416200.0,4.0,4.0,1.0,3222.0,0.16999540863177226,22.0,2018.0,573478.9945550574,-157278.99455505738
59,32.946721999999994,-96.471307,https://www.realtor.com/realestateandhomes-detail/1010-Sunnyvale-Dr_Rockwall_TX_75087_M74954-12220,Rockwall,TX,75087.0,Active,Single Family Home,nan,383990.0,5.0,4.0,0.0,3191.0,0.2,25.0,2018.0,313808.78654060286,70181.21345939714
60,32.847375,-96.36544599999999,https://www.realtor.com/realestateandhomes-detail/1158-Lucca-Dr_McLendon-Chisholm_TX_75032_M74380-88212,McLendon Chisholm,TX,75032.0,Active,Single Family Home,Traditional,484926.0,4.0,3.0,1.0,3065.0,0.24,25.0,2019.0,386168.7364648228,98757.26353517722
62,32.95882,-96.333591,https://www.realtor.com/realestateandhomes-detail/125-Singleton-Dr_Royse-City_TX_75189_M79598-36142,Royse City,TX,75189.0,Active,Single Family Home,Traditional,239990.0,3.0,2.0,0.0,2194.0,0.173989898989899,22.0,2019.0,406284.04235889926,-166294.04235889926
64,32.936637,-96.335065,https://www.realtor.com/realestateandhomes-detail/2178-Slow-Stream-Dr_Royse-City_TX_75189_M84377-90683,Royse City,TX,75189.0,Active,Single Family Home,Craftsman,267697.0,3.0,2.0,0.0,1882.0,0.125,23.0,2019.0,358278.8527450691,-90581.85274506907
68,32.934028999999995,-96.333811,https://www.realtor.com/realestateandhomes-detail/2154-Mossbrook-Dr_Royse-City_TX_75189_M76828-56181,Royse City,TX,75189.0,Active,Single Family Home,Craftsman,240930.0,4.0,2.0,0.0,1824.0,0.125,64.0,2019.0,257351.80998074435,-16421.80998074435
71,32.94421,-96.447637,https://www.realtor.com/realestateandhomes-detail/1290-White-Water-Ln_Rockwall_TX_75087_M75659-07155,Rockwall,TX,75087.0,Active Contingent,Single Family Home,Traditional,209900.0,3.0,2.0,1.0,2344.0,0.16999540863177226,25.0,2015.0,274866.3672446988,-64966.367244698806
72,32.934884999999994,-96.33371600000001,https://www.realtor.com/realestateandhomes-detail/2135-Mossbrook-Dr_Royse-City_TX_75189_M76803-22097,Royse City,TX,75189.0,Active,Single Family Home,Craftsman,247576.0,3.0,2.0,0.0,1880.0,0.125,64.0,2019.0,345767.9013893283,-98191.9013893283
74,32.828759000000005,-96.502489,https://www.realtor.com/realestateandhomes-detail/2-Chilton-Pt_Heath_TX_75032_M79969-90317,Heath,TX,75032.0,Pending,Single Family Home,Traditional,1900000.0,4.0,3.0,1.0,4433.0,1.16,289.0,1974.0,1092182.7616553698,807817.2383446302
75,32.825954,-96.338975,https://www.realtor.com/realestateandhomes-detail/4080-Wincrest-Dr_Rockwall_TX_75032_M73300-86528,Rockwall,TX,75032.0,Pending,Single Family Home,"Contemporary,Modern,Traditional",599900.0,4.0,4.0,1.0,4000.0,1.0,426.0,2017.0,1071280.5608232792,-471380.5608232792
77,32.833859000000004,-96.483691,https://www.realtor.com/realestateandhomes-detail/5-Dominion-Pl_Heath_TX_75032_M74001-50352,Heath,TX,75032.0,Active,Single Family Home,"Contemporary,Modern",649000.0,4.0,3.0,1.0,3353.0,0.56,26.0,2019.0,695792.8745870242,-46792.87458702421
84,32.898807,-96.450112,https://www.realtor.com/realestateandhomes-detail/2530-Cedarwood-Trl_Rockwall_TX_75032_M73673-34069,Rockwall,TX,75032.0,Active,Single Family Home,Traditional,372900.0,4.0,2.0,1.0,3578.0,0.26,24.0,2007.0,477304.3510232133,-104404.3510232133
85,32.966809999999995,-96.44849,https://www.realtor.com/realestateandhomes-detail/3315-Ridge-Cross-Dr_Rockwall_TX_75087_M75324-91833,Rockwall,TX,75087.0,Active,Single Family Home,Traditional,411500.0,4.0,3.0,1.0,2935.0,0.16999540863177226,22.0,2019.0,356074.2817485048,55425.718251495215
88,32.842591999999996,-96.318625,https://www.realtor.com/realestateandhomes-detail/120-Hidden-Pass_Royse-City_TX_75189_M86026-53534,Royse City,TX,75189.0,Active,Single Family Home,Traditional,745000.0,5.0,4.0,1.0,4882.0,2.4,21.0,2007.0,1257472.441336395,-512472.441336395
110,32.867906,-96.41063199999999,https://www.realtor.com/realestateandhomes-detail/708-Kensington-Dr_Rockwall_TX_75032_M75638-57528,McLendon Chisholm,TX,75032.0,Pending,Single Family Home,nan,499920.0,4.0,3.0,1.0,3318.0,1.07,256.0,2018.0,394355.9389866878,105564.0610133122
112,32.961209999999994,-96.31371999999999,https://www.realtor.com/realestateandhomes-detail/Perdenales-Dr_Royse-City_TX_75189_M86788-94210,Royse City,TX,75189.0,Active,Single Family Home,Traditional,319900.0,4.0,2.0,1.0,2834.0,0.1859963269054178,25.0,2015.0,242087.65365602652,77812.34634397348
118,32.835395,-96.31903299999999,https://www.realtor.com/realestateandhomes-detail/545-Highbluff-Trl_Royse-City_TX_75189_M78685-15690,Royse City,TX,75189.0,Active,Single Family Home,nan,489000.0,3.0,2.0,2.0,3486.0,2.0,174.0,2004.0,770952.7489895665,-281952.74898956646
119,32.897602,-96.43222,https://www.realtor.com/realestateandhomes-detail/3059-Pine-Ridge-Dr_Rockwall_TX_75032_M77457-80568,Rockwall,TX,75032.0,Pending,Single Family Home,nan,231999.0,3.0,2.0,0.0,1954.0,0.23,181.0,2005.0,324619.6161485697,-92620.61614856968
120,32.900593,-96.308603,https://www.realtor.com/realestateandhomes-detail/209-Sabine-Creek-Rd_Royse-City_TX_75189_M81180-86897,Royse City,TX,75189.0,Active,Single Family Home,Traditional,1589000.0,6.0,4.0,1.0,6191.0,14.38,179.0,1996.0,1923442.2891985157,-334442.2891985157
121,32.919094,-96.465952,https://www.realtor.com/realestateandhomes-detail/306-Rockbrook-Dr_Rockwall_TX_75087_M75556-98398,Rockwall,TX,75087.0,Pending,Single Family Home,Ranch,309000.0,4.0,2.0,1.0,2600.0,0.3,158.0,1971.0,295133.7351990682,13866.264800931793
122,32.951421,-96.435864,https://www.realtor.com/realestateandhomes-detail/2313-Saddlebrook-Ln_Rockwall_TX_75087_M78040-22712,Rockwall,TX,75087.0,Active,Single Family Home,"Colonial,Traditional",415000.0,5.0,3.0,1.0,3306.0,1.0,158.0,2002.0,893172.1393033968,-478172.1393033968
123,32.959287,-96.334665,https://www.realtor.com/realestateandhomes-detail/216-Singleton-Dr_Royse-City_TX_75189_M89605-90282,Royse City,TX,75189.0,Active,Single Family Home,Traditional,208000.0,4.0,2.0,0.0,1855.0,0.17100550964187328,165.0,2005.0,219660.67627519855,-11660.676275198552
124,32.852119,-96.386551,https://www.realtor.com/realestateandhomes-detail/103-Paddock-Ln_Rockwall_TX_75032_M80115-93858,McLendon Chisholm,TX,75032.0,Active,Single Family Home,Traditional,414900.0,4.0,2.0,1.0,3042.0,1.53,174.0,2010.0,313071.608045697,101828.39195430302
128,32.821775,-96.4716,https://www.realtor.com/realestateandhomes-detail/2318-Clover-Ct_Heath_TX_75126_M87865-97490,Heath,TX,75126.0,Active,Single Family Home,Traditional,469990.0,4.0,3.0,1.0,3040.0,0.32,158.0,2018.0,309967.3714254297,160022.6285745703
129,32.844485,-96.467212,https://www.realtor.com/realestateandhomes-detail/8644-S-Fm-549_Heath_TX_75032_M84388-65314,Heath,TX,75032.0,Active,Single Family Home,"Colonial,Traditional",1195000.0,4.0,3.0,1.0,4200.0,6.36,186.0,1998.0,1253831.837108057,-58831.83710805699
132,32.866,-96.475174,https://www.realtor.com/realestateandhomes-detail/204-Summer-Tanager-Ln_Rockwall_TX_75032_M84763-90773,Heath,TX,75032.0,Pending,Single Family Home,French,1100000.0,5.0,5.0,2.0,6500.0,1.14,496.0,1997.0,2818569.2356456937,-1718569.2356456937
133,32.957248,-96.33244,https://www.realtor.com/realestateandhomes-detail/1616-Brandon-Dr_Royse-City_TX_75189_M71653-08394,Royse City,TX,75189.0,Pending,Single Family Home,Traditional,269990.0,4.0,3.0,0.0,2570.0,0.19400826446280992,178.0,2018.0,258683.44736429746,11306.552635702537
134,32.889582,-96.47546,https://www.realtor.com/realestateandhomes-detail/1508-Shady-Grove-Cir_Rockwall_TX_75032_M87128-35474,Rockwall,TX,75032.0,Active,Single Family Home,Traditional,449900.0,4.0,3.0,1.0,3730.0,0.23,191.0,2002.0,695941.6031836853,-246041.60318368534
135,32.976087,-96.448938,https://www.realtor.com/realestateandhomes-detail/996-Heather-Falls-Dr_Rockwall_TX_75087_M74163-94237,Rockwall,TX,75087.0,Active,Single Family Home,Ranch,509357.0,4.0,4.0,0.0,3711.0,0.22899449035812672,163.0,2018.0,537740.1232126883,-28383.123212688253
137,32.952482,-96.45761,https://www.realtor.com/realestateandhomes-detail/325-Nakoma-Dr_Rockwall_TX_75087_M88650-75041,Rockwall,TX,75087.0,Pending,Single Family Home,Traditional,474990.0,4.0,3.0,1.0,4051.0,0.22899449035812672,496.0,2017.0,696014.9401119641,-221024.94011196413
139,32.894369,-96.411335,https://www.realtor.com/realestateandhomes-detail/3204-Wimberley-Ln_Rockwall_TX_75032_M74140-46483,Rockwall,TX,75032.0,Pending,Single Family Home,nan,359990.0,4.0,3.0,0.0,3374.0,0.31,158.0,2018.0,345252.9298409097,14737.070159090275
140,32.846656,-96.46907900000001,https://www.realtor.com/realestateandhomes-detail/810-Laurence-Dr_Heath_TX_75032_M73296-41080,Heath,TX,75032.0,Active,Single Family Home,Traditional,1600000.0,3.0,2.0,0.0,2480.0,17.24,171.0,1968.0,346381.5084271162,1253618.491572884
142,32.877396000000005,-96.483682,https://www.realtor.com/realestateandhomes-detail/460-Yacht-Club-Dr-A_Rockwall_TX_75032_M80658-02780,Rockwall,TX,75032.0,Pending,Condo/Townhome/Row Home/Co-Op,"Contemporary,Modern",365000.0,2.0,2.0,0.0,2701.0,0.06799816345270891,179.0,1990.0,602845.4731566118,-237845.47315661178
153,32.847706,-96.36642,https://www.realtor.com/realestateandhomes-detail/1324-Prato-Ave_Rockwall_TX_75032_M79547-61643,McLendon Chisholm,TX,75032.0,Pending,Single Family Home,Traditional,474490.0,4.0,3.0,1.0,3065.0,0.24,185.0,2019.0,335370.07971792633,139119.92028207367
179,32.62455300000001,-97.364535,https://www.realtor.com/realestateandhomes-detail/3205-Roddy-Dr_Fort-Worth_TX_76123_M74825-65469,Fort Worth,TX,76123.0,Pending,Single Family Home,Traditional,120000.0,4.0,2.0,1.0,2547.0,0.15899908172635446,496.0,1990.0,322217.73085473606,-202217.73085473606
180,32.717662,-97.158541,https://www.realtor.com/realestateandhomes-detail/2810-Wood-Wind-Dr_Pantego_TX_76013_M88850-92662,Pantego,TX,76013.0,Pending,Single Family Home,nan,249500.0,4.0,2.0,1.0,2786.0,0.33,496.0,1970.0,481834.1223120592,-232334.12231205922
181,32.69217800000001,-97.206225,https://www.realtor.com/realestateandhomes-detail/6315-Millwood-Ct_Arlington_TX_76016_M88252-68749,Arlington,TX,76016.0,Active,Single Family Home,Traditional,315000.0,4.0,3.0,0.0,2930.0,0.46,496.0,1996.0,305983.54088255786,9016.459117442137
182,32.953666999999996,-96.333203,https://www.realtor.com/realestateandhomes-detail/3004-Jessica-Way_Royse-City_TX_75189_M75605-83874,Royse City,TX,75189.0,Pending,Single Family Home,Traditional,274990.0,4.0,2.0,1.0,2691.0,0.19600550964187327,167.0,2016.0,203783.2402322137,71206.75976778631
183,32.630952,-97.189231,https://www.realtor.com/realestateandhomes-detail/6923-Costa-del-Sol-Ct_Arlington_TX_76001_M71556-58408,Arlington,TX,76001.0,Active,Single Family Home,Traditional,329990.0,3.0,2.0,0.0,2283.0,0.25,496.0,2017.0,252602.1915455163,77387.80845448369
184,32.632634,-97.19273299999999,https://www.realtor.com/realestateandhomes-detail/5206-Melia-Dr_Arlington_TX_76001_M71555-83876,Arlington,TX,76001.0,Active,Single Family Home,Traditional,391990.0,4.0,3.0,0.0,3717.0,0.23,496.0,2017.0,409672.420695008,-17682.42069500801
194,32.820673,-96.33913299999999,https://www.realtor.com/realestateandhomes-detail/2605-Wincrest-Dr_Rockwall_TX_75032_M76624-62998,Rockwall,TX,75032.0,Pending,Single Family Home,Ranch,519000.0,4.0,3.0,1.0,3535.0,1.5,319.0,2018.0,530668.0677982218,-11668.067798221833
195,32.93912,-96.475367,https://www.realtor.com/realestateandhomes-detail/725-Fairfax-Ln_Rockwall_TX_75087_M74710-64599,Rockwall,TX,75087.0,Active,Single Family Home,nan,437000.0,5.0,3.0,1.0,3335.0,0.23,163.0,2015.0,397950.1595142402,39049.84048575978
225,32.943503,-96.381804,https://www.realtor.com/realestateandhomes-detail/301-W-E-Crawford-Ave_Fate_TX_75132_M77730-82319,Fate,TX,75132.0,Pending,Single Family Home,nan,119900.0,3.0,2.0,0.0,1280.0,0.69,496.0,1980.0,200517.2467263764,-80617.24672637641
239,32.886016999999995,-96.324334,https://www.realtor.com/realestateandhomes-detail/3019-Weldon-Ln_Royse-City_TX_75189_M75708-32009,Royse City,TX,75189.0,Active,Single Family Home,Traditional,429900.0,4.0,3.0,1.0,3129.0,2.21,161.0,2006.0,454965.14128295286,-25065.141282952856
243,32.883782000000004,-96.470964,https://www.realtor.com/realestateandhomes-detail/2975-Oak-Dr_Rockwall_TX_75032_M74865-10064,Rockwall,TX,75032.0,Active,Single Family Home,Traditional,375000.0,4.0,2.0,1.0,2411.0,0.23,185.0,1991.0,262822.33758002,112177.66241997998
268,32.967818,-96.309321,https://www.realtor.com/realestateandhomes-detail/419-Jasmine_Royse-City_TX_75189_M89868-07803,Royse City,TX,75189.0,Pending,Single Family Home,nan,285982.0,4.0,3.0,0.0,2179.0,0.18999081726354453,169.0,2018.0,245535.1069937867,40446.8930062133
275,33.257304,-96.535777,https://www.realtor.com/realestateandhomes-detail/4052-County-Road-412_MC-Kinney_TX_75071_M83198-85829,McKinney,TX,75071.0,Active Contingent,Farms/Ranches,Traditional,1980000.0,2.0,3.0,0.0,3030.0,82.67,496.0,1981.0,768093.231238135,1211906.7687618649
308,33.201461,-96.622331,https://www.realtor.com/realestateandhomes-detail/414-N-Bradley-St_MC-Kinney_TX_75069_M71154-55673,McKinney,TX,75069.0,Active,Single Family Home,nan,320000.0,4.0,2.0,0.0,2101.0,0.23,250.0,1940.0,265460.3263045377,54539.67369546229
327,32.880857,-96.466609,https://www.realtor.com/realestateandhomes-detail/4609-Steeple-Chase-Ln_Rockwall_TX_75032_M85037-43975,Rockwall,TX,75032.0,Pending,Single Family Home,Traditional,387000.0,4.0,3.0,0.0,2780.0,0.27,160.0,1997.0,284735.4664203215,102264.53357967851
